call to Robot/MoveD
4.056418 0 265 -45.848910
4.058931 0 265 -45.848910
4.060976 0 265 -45.848910
4.062309 0 265 -45.848910
4.064704 0 265 -45.848910
4.066025 0 265 -45.848910
4.067175 0 265 -45.848910
4.068536 0 265 -45.848910
4.070325 0 265 -45.848910
4.071734 0 265 -45.848910
4.073068 0 265 -45.848910
4.075756 0 265 -45.848910
4.077206 0 265 -45.848910
4.078875 0 265 -45.848910
4.080936 0 265 -45.848910
4.082288 0 265 -45.848910
4.084911 0 265 -45.848910
4.086243 0 265 -45.848910
4.087684 0 265 -45.848910
4.089108 0 265 -45.848910
4.090549 0 265 -45.848910
4.092587 0 265 -45.848910
4.094921 0 265 -45.848910
4.096260 0 265 -45.848910
4.098015 0 265 -45.848910
4.099166 0 265 -45.848910
4.100609 0 265 -45.848910
4.126441 0 265 -45.848910
4.150255 0 265 -45.848910
4.151918 0 265 -45.848910
4.153373 0 265 -45.848910
4.156143 0 265 -45.848910
4.157387 0 265 -45.848910
4.158672 0 265 -45.848910
4.180368 0 265 -45.848910
4.181970 0 265 -45.848910
4.183662 0 265 -45.848910
4.186211 0 265 -45.848910
4.187655 0 265 -45.848910
4.189054 0 265 -45.848910
